Id_bien;Code_Commune;Type_Local;Surface_Bati;Nombre_Piece_Princ
14349;317;Appartement;82;4
14350;376;Appartement;31;1
14351;370;Appartement;31;2
14352;390;Appartement;39;1
14353;409;Appartement;81;3
14354;480;Appartement;48;2
14355;584;Appartement;62;2
14356;568;Appartement;86;4
14357;616;Appartement;75;4
14358;617;Appartement;24;1
14359;629;Appartement;66;3
14360;664;Maison;41;3
14361;670;Appartement;62;3
14362;666;Appartement;79;4
14363;809;Appartement;30;2
14364;809;Appartement;76;3
14365;843;Appartement;28;1
14366;797;Maison;60;3
14367;808;Maison;60;3
14368;818;Appartement;36;3
14369;796;Appartement;23;1
14370;796;Appartement;15;1
14371;783;Appartement;43;1
14372;783;Appartement;103;5
14373;784;Appartement;81;4
14374;799;Appartement;18;1
14375;879;Appartement;55;3
14376;786;Appartement;41;3
14377;786;Appartement;38;2
14378;845;Appartement;41;2
14379;798;Maison;80;4
14380;835;Appartement;42;2
14381;800;Appartement;64;4
14382;802;Appartement;44;2
14383;904;Appartement;19;1
14384;904;Appartement;21;1
14385;907;Appartement;50;2
14386;901;Appartement;68;3
14387;965;Appartement;29;1
14388;965;Appartement;80;4
14389;973;Appartement;43;2
14390;1055;Appartement;68;3
14391;1054;Appartement;49;2
14392;1073;Appartement;54;3
14393;1237;Appartement;70;3
14394;1205;Appartement;198;3
14395;1229;Maison;53;3
14396;1217;Appartement;30;1
14397;1240;Appartement;104;4
14398;1347;Appartement;50;2
14399;1277;Appartement;149;5
14400;1277;Appartement;35;2
14401;1280;Appartement;143;6
14402;1277;Appartement;19;1
14403;1323;Appartement;56;3
14404;1326;Appartement;128;4
14405;1345;Maison;35;2
14406;1301;Appartement;44;2
14407;1391;Appartement;42;2
14408;1357;Appartement;49;2
14409;1396;Appartement;39;2
14410;1395;Maison;70;3
14411;1419;Appartement;86;5
14412;1427;Appartement;78;3
14413;1444;Appartement;62;3
14414;1467;Maison;42;3
14415;1482;Appartement;36;2
14416;1482;Appartement;58;3
14417;1488;Appartement;65;3
14418;1552;Maison;86;3
14419;1540;Appartement;75;4
14420;1597;Appartement;25;1
14421;1681;Appartement;22;1
14422;1630;Appartement;63;3
14423;1650;Appartement;15;1
14424;1628;Appartement;33;1
14425;1666;Appartement;41;2
14426;1684;Appartement;32;2
14427;1661;Appartement;42;2
14428;1706;Maison;53;4
14429;1760;Appartement;69;3
14430;1717;Maison;75;3
14431;1738;Maison;122;6
14432;1813;Appartement;27;1
14433;1852;Appartement;28;2
14434;1853;Appartement;24;1
14435;2013;Appartement;60;3
14436;1980;Appartement;92;4
14437;2007;Appartement;39;2
14438;1933;Appartement;48;2
14439;1935;Appartement;39;1
14440;1914;Appartement;39;1
14441;1945;Appartement;68;3
14442;1927;Appartement;24;1
14443;1927;Appartement;15;1
